"","mice.pmm","mice.norm","mice.custom","mean","mipca","amelia","MF","MVN"
"25",4.19633225458468,4.26105717367853,4.34735706580367,4.11003236245955,4.26105717367853,4.46601941747573,4.23948220064725,4.22869471413161
"26",4.21790722761596,4.26105717367853,4.16396979503776,4.18554476806904,4.16396979503776,4.11003236245955,4.20711974110032,4.08845738942826
"27",4.57389428263215,4.69255663430421,4.83279395900755,4.45523193096009,4.59546925566343,4.83279395900755,4.72491909385113,4.51995685005394
"28",4.48759439050701,3.93743257820928,4.19633225458468,4.18554476806904,4.25026968716289,4.16396979503776,4.08845738942826,4.05609492988134
"29",4.37971952535059,4.36893203883495,4.57389428263215,4.40129449838188,4.46601941747573,4.36893203883495,4.41208198489752,4.44444444444444
"30",4.12081984897519,3.93743257820928,4.23948220064725,3.86192017259978,3.85113268608414,3.95900755124056,3.78640776699029,3.86192017259978
"31",4.28263214670982,4.4336569579288,4.57389428263215,4.29341963322546,4.36893203883495,4.39050701186624,4.16396979503776,4.21790722761596
"32",4.66019417475728,4.54153182308522,4.72491909385113,4.44444444444444,4.66019417475728,4.88673139158576,4.47680690399137,4.58468176914779
"33",4.40129449838188,4.15318230852211,4.37971952535059,4.29341963322546,4.01294498381877,4.37971952535059,4.12081984897519,4.20711974110032
"34",3.85113268608414,4.07766990291262,3.85113268608414,3.87270765911543,3.74325782092772,4.01294498381877,3.88349514563107,3.70010787486516
"35",3.89428263214671,4.01294498381877,3.87270765911543,3.79719525350593,4.02373247033441,4.01294498381877,3.85113268608414,3.95900755124056
"36",4.32578209277238,4.53074433656958,4.638619201726,4.4336569579288,4.40129449838188,4.5631067961165,4.23948220064725,4.44444444444444
"37",4.0992448759439,4.08845738942826,4.19633225458468,4.11003236245955,4.14239482200647,4.12081984897519,4.0992448759439,4.0453074433657
"38",4.27184466019417,4.1747572815534,4.26105717367853,4.19633225458468,4.15318230852211,4.27184466019417,4.23948220064725,4.20711974110032
"39",4.45523193096009,4.4336569579288,4.60625674217907,4.32578209277238,4.4336569579288,4.67098166127292,4.35814455231931,4.33656957928803
"40",4.22869471413161,4.13160733549083,4.18554476806904,4.26105717367853,4.21790722761596,4.25026968716289,4.21790722761597,4.26105717367853
"41",3.80798274002157,3.51672060409924,3.81877022653722,3.86192017259978,3.92664509169364,3.65695792880259,3.68932038834951,3.68932038834951
"42",4.64940668824164,4.54153182308522,4.48759439050701,4.42286947141316,4.68176914778856,4.51995685005394,4.33656957928803,4.37971952535059
"43",3.75404530744337,3.88349514563107,3.85113268608414,3.81877022653722,3.73247033441208,3.92664509169364,3.74325782092772,3.66774541531823
"44",4.33656957928803,4.34735706580367,4.32578209277238,4.23948220064725,4.23948220064725,4.40129449838188,4.13160733549083,4.27184466019417
"45",4.05609492988134,4.02373247033441,4.16396979503776,3.95900755124056,4.19633225458468,4.05609492988134,4.07766990291262,3.99137001078749
"46",4.13160733549083,4.25026968716289,4.19633225458468,4.0992448759439,4.11003236245955,4.1747572815534,4.01294498381877,4.15318230852211
"47",4.06688241639698,3.94822006472492,3.9697950377562,3.80798274002157,3.80798274002158,3.98058252427184,3.86192017259978,3.74325782092772
"48",4.21790722761597,4.23948220064725,4.42286947141316,4.26105717367853,4.48759439050701,4.36893203883495,4.0992448759439,4.29341963322546
"49",4.54153182308522,4.31499460625674,4.35814455231931,4.31499460625674,4.3042071197411,4.36893203883495,4.15318230852211,4.19633225458468
"50",4.14239482200647,4.11003236245955,3.98058252427184,4.09924487594391,4.02373247033441,4.22869471413161,3.87270765911543,3.93743257820928
"51",4.18554476806904,4.23948220064725,4.40129449838188,4.21790722761597,4.54153182308522,4.4336569579288,4.22869471413161,4.1747572815534
"52",4.33656957928803,4.45523193096009,4.36893203883495,4.33656957928803,4.4336569579288,4.16396979503776,4.27184466019417,4.29341963322546
"53",4.28263214670982,4.44444444444444,4.54153182308522,4.29341963322546,4.34735706580367,4.42286947141316,4.29341963322546,4.32578209277238
"54",4.88673139158576,4.80043149946063,4.95145631067961,4.71413160733549,4.92988133764833,5.12405609492988,4.62783171521036,4.80043149946063
"55",4.5631067961165,4.70334412081985,4.80043149946063,4.64940668824164,4.73570658036677,4.75728155339806,4.51995685005394,4.59546925566343
"56",4.14239482200647,4.1747572815534,4.18554476806904,3.95900755124056,4.05609492988134,4.3042071197411,4.07766990291262,4.0453074433657
"57",4.60625674217907,4.50916936353829,4.42286947141316,4.46601941747573,4.3042071197411,4.40129449838188,4.46601941747573,4.47680690399137
"58",4.22869471413161,3.90507011866235,4.13160733549083,3.94822006472492,4.01294498381877,4.08845738942826,3.94822006472492,3.91585760517799
"59",4.03451995685005,4.22869471413161,4.23948220064725,4.03451995685005,4.25026968716289,4.16396979503776,4.12081984897519,4.06688241639698
"60",4.0453074433657,4.00215749730313,4.23948220064725,3.82955771305286,4.14239482200647,4.19633225458468,4.03451995685005,3.99137001078749
"61",4.19633225458468,4.35814455231931,4.22869471413161,4.21790722761596,4.19633225458468,4.20711974110032,4.14239482200647,4.27184466019417
"62",4.11003236245955,3.82955771305286,4.0992448759439,3.99137001078749,4.07766990291262,4.0992448759439,3.88349514563107,3.82955771305286
"63",4.59546925566343,4.49838187702265,4.35814455231931,4.35814455231931,4.45523193096009,4.59546925566343,4.40129449838188,4.4336569579288
"64",4.15318230852211,4.02373247033441,4.14239482200647,3.98058252427184,4.05609492988134,4.02373247033441,3.77562028047465,3.81877022653722
"65",4.3042071197411,4.37971952535059,4.26105717367853,4.06688241639698,4.1747572815534,4.29341963322546,3.95900755124056,4.03451995685005
"66",4.29341963322546,4.11003236245955,4.26105717367853,4.16396979503776,4.34735706580367,4.19633225458468,4.31499460625674,4.18554476806904
"67",4.47680690399137,4.55231930960086,4.59546925566343,4.19633225458468,4.53074433656958,4.27184466019417,4.42286947141316,4.34735706580367
"68",4.61704422869471,4.66019417475728,4.47680690399137,4.42286947141316,4.55231930960086,4.5631067961165,4.46601941747573,4.42286947141316
"69",4.61704422869471,4.4336569579288,4.67098166127292,4.49838187702265,4.44444444444444,4.62783171521036,4.68176914778856,4.61704422869471
"70",3.81877022653722,3.86192017259978,3.7108953613808,3.74325782092772,3.63538295577131,3.80798274002157,3.74325782092772,3.74325782092772
"71",3.87270765911543,3.70010787486516,3.94822006472492,3.78640776699029,4.00215749730313,3.66774541531823,3.81877022653722,3.72168284789644
"72",4.27184466019417,4.01294498381877,4.14239482200647,4.08845738942826,4.25026968716289,4.26105717367853,4.13160733549083,4.19633225458468
"73",4.13160733549083,4.31499460625674,4.19633225458468,4.29341963322546,4.28263214670982,4.31499460625674,4.27184466019417,4.35814455231931
"74",4.84358144552319,4.84358144552319,4.75728155339806,4.66019417475728,4.81121898597627,4.83279395900755,4.70334412081985,4.68176914778856
"75",3.91585760517799,3.79719525350593,3.91585760517799,3.78640776699029,3.77562028047465,4.06688241639698,3.87270765911543,3.88349514563107
"76",4.08845738942826,3.89428263214671,4.37971952535059,3.89428263214671,4.14239482200647,4.18554476806904,4.25026968716289,3.91585760517799
"77",4.0453074433657,4.00215749730313,4.08845738942826,3.9697950377562,3.87270765911543,4.05609492988134,3.74325782092772,3.87270765911543
"78",4.40129449838188,4.61704422869471,4.53074433656958,4.39050701186623,4.29341963322546,4.58468176914779,4.39050701186623,4.47680690399137
"79",4.7680690399137,4.68176914778857,4.74649406688242,4.68176914778857,4.87594390507012,4.88673139158576,4.48759439050701,4.74649406688242
"80",4.01294498381877,3.93743257820928,4.13160733549083,3.86192017259978,3.85113268608414,4.07766990291262,4.05609492988134,4.01294498381877
"81",4.36893203883495,4.27184466019417,4.40129449838188,4.23948220064725,4.28263214670982,4.41208198489752,4.37971952535059,4.40129449838188
"82",4.29341963322546,4.29341963322546,4.45523193096009,4.22869471413161,4.34735706580367,4.4336569579288,4.20711974110032,4.31499460625674
"83",4.45523193096009,4.26105717367853,4.51995685005394,4.21790722761597,4.21790722761596,4.48759439050701,4.23948220064725,4.34735706580367
"84",4.11003236245955,4.15318230852211,4.35814455231931,4.02373247033441,4.26105717367853,4.21790722761597,4.15318230852211,4.16396979503776
"85",3.82955771305286,3.89428263214671,3.94822006472492,3.66774541531823,3.68932038834951,4.05609492988134,3.68932038834951,3.77562028047465
"86",4.03451995685005,4.03451995685005,4.00215749730313,3.89428263214671,4.14239482200647,3.88349514563107,3.90507011866235,3.90507011866235
"87",4.8975188781014,4.7680690399137,4.86515641855448,4.90830636461704,4.5631067961165,4.80043149946063,4.58468176914779,4.92988133764833
"88",4.1747572815534,3.88349514563107,4.25026968716289,3.95900755124056,4.07766990291262,4.08845738942826,4.08845738942826,4.22869471413161
"89",4.21790722761597,4.05609492988134,4.40129449838188,4.0453074433657,4.18554476806904,4.07766990291262,4.07766990291262,4.02373247033441
"90",4.47680690399137,4.25026968716289,4.49838187702265,4.13160733549083,4.40129449838188,4.32578209277238,4.20711974110032,4.35814455231931
"91",4.00215749730313,3.90507011866235,3.88349514563107,3.81877022653722,3.86192017259978,4.0453074433657,3.67853290183387,3.94822006472492
"92",3.89428263214671,3.94822006472492,4.07766990291262,3.82955771305286,3.87270765911543,4.01294498381877,3.82955771305286,3.78640776699029
"93",3.5814455231931,3.55987055016181,3.54908306364617,3.30097087378641,3.5814455231931,3.86192017259978,3.54908306364617,3.67853290183387
"94",3.77562028047465,3.82955771305286,3.94822006472492,3.86192017259978,3.90507011866235,4.01294498381877,4.02373247033441,4.09924487594391
"95",4.44444444444444,4.45523193096009,4.37971952535059,4.53074433656958,4.55231930960086,4.69255663430421,4.49838187702265,4.58468176914779
"96",4.59546925566343,4.5631067961165,4.66019417475728,4.48759439050701,4.75728155339806,4.60625674217907,4.47680690399137,4.5631067961165
"97",3.94822006472492,4.03451995685005,4.0453074433657,3.94822006472492,3.99137001078749,4.02373247033441,3.8403451995685,3.90507011866235
"98",4.57389428263215,4.33656957928803,4.31499460625674,4.25026968716289,4.55231930960086,4.35814455231931,4.21790722761596,4.15318230852211
"99",4.46601941747573,4.47680690399137,4.36893203883495,4.33656957928803,4.35814455231931,4.32578209277238,4.41208198489752,4.32578209277238
"100",4.16396979503776,4.19633225458468,4.0453074433657,4.1747572815534,4.07766990291262,4.26105717367853,4.00215749730313,4.05609492988134
"101",4.70334412081985,4.61704422869471,4.75728155339806,4.55231930960086,4.5631067961165,4.75728155339806,4.64940668824164,4.51995685005394
"102",3.77562028047465,3.66774541531823,3.77562028047465,3.78640776699029,3.86192017259978,3.93743257820928,3.90507011866235,3.76483279395901
"103",3.5814455231931,3.62459546925566,3.79719525350593,3.54908306364617,3.76483279395901,3.79719525350593,3.64617044228695,3.57065803667745
"104",4.44444444444444,4.60625674217907,4.44444444444444,4.42286947141316,4.47680690399137,4.49838187702265,4.60625674217907,4.50916936353829
"105",4.21790722761596,4.0453074433657,4.28263214670982,3.92664509169364,3.92664509169364,3.95900755124056,4.11003236245955,4.12081984897519
"106",4.07766990291262,4.08845738942826,4.16396979503776,4.07766990291262,4.13160733549083,4.23948220064725,4.11003236245955,4.06688241639698
"107",4.26105717367853,4.23948220064725,4.1747572815534,4.18554476806904,4.15318230852211,4.22869471413161,4.27184466019417,4.15318230852211
"108",4.25026968716289,4.06688241639698,4.22869471413161,4.15318230852211,4.20711974110032,4.32578209277238,3.99137001078749,4.22869471413161
"109",4.47680690399137,4.59546925566343,4.37971952535059,4.32578209277238,4.44444444444444,4.49838187702265,4.44444444444444,4.41208198489752
"110",4.54153182308522,4.3042071197411,4.3042071197411,4.27184466019417,4.50916936353829,4.44444444444444,4.22869471413161,4.3042071197411
"111",4.29341963322546,4.3042071197411,4.39050701186624,4.36893203883495,4.32578209277238,4.53074433656958,4.34735706580367,4.26105717367853
"112",3.93743257820928,4.02373247033441,3.85113268608414,3.73247033441208,3.94822006472492,3.85113268608414,3.72168284789644,3.74325782092772
"113",4.1747572815534,4.26105717367853,4.1747572815534,4.07766990291262,4.36893203883495,4.41208198489752,4.21790722761597,4.13160733549083
"114",4.32578209277238,4.50916936353829,4.37971952535059,4.36893203883495,4.31499460625674,4.40129449838188,4.34735706580367,4.19633225458468
"115",4.36893203883495,4.11003236245955,4.58468176914779,4.35814455231931,4.28263214670982,4.41208198489752,4.48759439050701,4.5091693635383
"116",4.31499460625674,4.22869471413161,4.48759439050701,4.14239482200647,4.20711974110032,4.16396979503776,4.12081984897519,4.06688241639698
"117",4.22869471413161,4.16396979503776,4.1747572815534,4.21790722761597,4.3042071197411,4.31499460625674,4.0453074433657,4.27184466019417
"118",4.15318230852211,4.07766990291262,4.23948220064725,4.20711974110032,4.27184466019417,3.94822006472492,4.19633225458468,4.27184466019417
"119",4.03451995685005,3.90507011866235,3.90507011866235,3.9697950377562,3.98058252427184,4.00215749730313,3.88349514563107,3.75404530744337
"120",4.36893203883495,4.46601941747573,4.34735706580367,4.19633225458468,4.4336569579288,4.47680690399137,4.3042071197411,4.36893203883495
"121",4.39050701186623,4.11003236245955,4.28263214670982,4.06688241639698,4.14239482200647,4.20711974110032,3.88349514563107,3.94822006472492
"122",3.80798274002158,3.78640776699029,3.93743257820928,3.88349514563107,4.18554476806904,4.1747572815534,3.87270765911543,3.91585760517799
"123",3.95900755124056,4.14239482200647,3.88349514563107,4.14239482200647,4.00215749730313,4.05609492988134,4.01294498381877,3.93743257820928
"124",4.03451995685005,4.14239482200647,4.36893203883495,3.95900755124056,4.18554476806904,4.26105717367853,4.03451995685005,4.23948220064725
"125",4.53074433656958,4.02373247033441,4.29341963322546,4.28263214670982,4.15318230852211,4.13160733549083,4.33656957928803,4.25026968716289
"126",4.31499460625674,4.14239482200647,4.22869471413161,4.41208198489752,4.29341963322546,4.23948220064725,4.20711974110032,4.22869471413161
"127",4.28263214670982,4.26105717367853,4.40129449838188,4.37971952535059,4.37971952535059,4.50916936353829,4.23948220064725,4.33656957928803
"128",3.93743257820928,3.82955771305286,3.79719525350593,3.72168284789644,3.78640776699029,3.87270765911543,3.81877022653722,3.86192017259978
