"","allCols","predCols","withY","noBMI","mean","completeCases","fullJoint","RF","SVM","allNeg","allPos","c1","c3","c4","c5","c6","doctor","SAEM","pos.w"
"191",2.71197411003236,2.78964401294498,2.80906148867314,2.73139158576052,2.77022653721683,2.80258899676375,2.86084142394822,2.80258899676375,3.4368932038835,8.03883495145631,8.03883495145631,3.76051779935275,0,0.802588996763754,5.99352750809061,3.4368932038835,4.59546925566343,2.51779935275081,9
"192",2.606649014416,2.68314210061783,2.68314210061783,2.61841718152398,2.67137393350986,2.6949102677258,2.74786701971168,2.68314210061783,3.33039129155634,8.12003530450132,8.12003530450132,3.7834657252133,0,0.729626360694322,6.03706972639011,3.31273904089438,4.6072374227714,2.39482200647249,10
"193",0.841423948220065,0.841423948220065,0.841423948220065,0.841423948220065,0.841423948220065,0.841423948220065,0.847308031774051,0.835539864666078,0.823771697558105,0.847308031774051,0.847308031774051,0.847308031774051,0,0.847308031774051,0.847308031774051,0.841423948220065,0.847308031774051,0.841423948220065,0.1
"194",1.54261057173679,1.54261057173679,1.54261057173679,1.54261057173679,1.54261057173679,1.54261057173679,1.55339805825243,1.53182308522114,1.51024811218986,1.55339805825243,1.55339805825243,1.55339805825243,0,1.55339805825243,1.55339805825243,1.53182308522114,1.55339805825243,1.54261057173679,0.2
"195",2.1160069703759,2.13094349016679,2.13094349016679,2.13592233009709,2.09609161065472,2.13592233009709,2.10604929051531,2.1209858103062,2.09111277072442,2.15085884988798,2.15085884988798,2.15085884988798,0,2.15085884988798,2.15085884988798,2.08613393079413,2.15085884988798,2.13592233009709,0.3
"196",2.49653259361997,2.51502542764679,2.51502542764679,2.5335182616736,2.48728617660657,2.58899676375405,2.46879334257975,2.57975034674064,2.58899676375405,2.6629680998613,2.6629680998613,2.54276467868701,0,2.6629680998613,2.6629680998613,2.55201109570042,2.6629680998613,2.56125751271382,0.4
"197",2.82632146709817,2.84789644012945,2.84789644012945,2.86947141316073,2.82632146709817,2.9126213592233,2.7831715210356,2.95577130528587,2.99892125134844,3.10679611650485,3.10679611650485,2.69687162891046,0,3.10679611650485,3.10679611650485,2.95577130528587,3.10679611650485,2.89104638619202,0.5
"198",3.11488673139159,3.12297734627832,3.11488673139159,3.16343042071197,3.12297734627832,3.17961165048544,3.05825242718447,3.27669902912621,3.31715210355987,3.49514563106796,3.49514563106796,2.83171521035599,0,3.49514563106796,3.49514563106796,3.30906148867314,3.49514563106796,3.17152103559871,0.6
"199",3.36188844469827,3.36569579288026,3.35046640015229,3.40757662288216,3.38473253379021,3.38473253379021,3.30097087378641,3.55987055016181,3.54083380925186,3.83780696744717,3.83780696744717,2.95069484104321,0,3.83780696744717,3.83780696744717,3.62078812107367,3.83780696744717,3.36188844469827,0.7
"200",3.56706220783891,3.5814455231931,3.55267889248472,3.5814455231931,3.61740381157857,3.54548723480762,3.51672060409925,3.81157856886012,3.72527867673499,4.14239482200647,4.14239482200647,3.05645451276519,0,3.91945343401654,4.14239482200647,3.89068680330816,4.14239482200647,3.48795397339087,0.8
"201",3.75063873275422,3.77448475557827,3.67569408959291,3.70635326179527,3.74723215806507,3.68932038834952,3.70975983648442,4.03679100664282,3.87668199625277,4.41492079713848,4.41492079713848,3.1510815874638,0,3.71316641117357,4.41492079713848,4.12536194856072,4.32294328053143,3.59393629705331,0.9
"202",3.91585760517799,3.94822006472492,3.78640776699029,3.81877022653722,3.85113268608414,3.81877022653722,3.85113268608414,4.20711974110032,4.01294498381877,4.66019417475728,4.66019417475728,3.23624595469256,0,3.52750809061489,4.66019417475728,4.33656957928803,4.36893203883495,3.68932038834951,1
"203",4.28478964401295,4.28478964401295,4.20711974110032,4.20711974110032,4.24595469255663,4.31067961165049,4.28478964401295,4.7378640776699,4.50485436893204,5.59223300970874,5.59223300970874,3.55987055016181,0,2.82200647249191,5.15210355987055,4.97087378640777,4.54368932038835,3.94822006472492,1.5
"204",4.48759439050701,4.48759439050701,4.48759439050701,4.44444444444444,4.5091693635383,4.46601941747573,4.42286947141316,4.70334412081985,4.61704422869471,6.21359223300971,6.21359223300971,3.77562028047465,0,2.35167206040992,5.48004314994606,5.28586839266451,4.66019417475728,4.0992448759439,2
"205",4.47526583448913,4.51225150254276,4.4290337494221,4.5584835876098,4.47526583448913,4.53074433656958,4.43828016643551,4.61396208969024,4.69717984281091,6.65742024965326,6.65742024965326,3.9297272306981,0,2.01571890892279,5.71428571428571,5.32593619972261,4.74341192787795,4.14239482200647,2.5
"206",4.3042071197411,4.33656957928803,4.27184466019417,4.35275080906149,4.28802588996764,4.36893203883495,4.40129449838188,4.54692556634304,4.72491909385113,6.99029126213592,6.99029126213592,4.0453074433657,0,1.76375404530744,5.88996763754045,5.22653721682848,4.80582524271845,4.0453074433657,3
"207",4.17116145271485,4.18554476806904,4.14958647968357,4.19273642574613,4.13520316432938,4.12801150665228,4.32937792161093,4.43725278676735,4.70334412081985,7.24919093851133,7.24919093851133,4.13520316432938,0,1.56778137360662,6.02660913340525,5.14922689679971,4.85436893203883,3.8475368572456,3.5
"208",4.03883495145631,4.03883495145631,4.02588996763754,4.06472491909385,3.90938511326861,3.93527508090615,4.22006472491909,4.22006472491909,4.56957928802589,7.45631067961165,7.45631067961165,4.20711974110032,0,1.41100323624595,6.13592233009709,4.97087378640777,4.89320388349515,3.68932038834951,4
"209",3.8717269785231,3.86584289496911,3.85995881141512,3.95998823183289,3.72462488967343,3.77169755810533,4.05413356869668,4.0423654015887,4.41306266548985,7.62577228596646,7.62577228596646,4.26596057664019,0,1.28273021476905,6.22536040011768,4.73668726095911,4.92497793468667,3.55987055016181,4.5
"210",3.70010787486516,3.70010787486516,3.68932038834951,3.8403451995685,3.57065803667745,3.63538295577131,3.91585760517799,3.89428263214671,4.28263214670982,7.76699029126214,7.76699029126214,4.31499460625674,0,1.17583603020496,6.29989212513484,4.50916936353829,4.95145631067961,3.45199568500539,5
"211",3.55489171023152,3.55489171023152,3.54493403037092,3.73910878765248,3.4403783918347,3.52003983071944,3.79885486681603,3.76898182723425,4.17226786158825,7.88648244958924,7.88648244958924,4.35648493900921,0,1.08538710480458,6.3629574309186,4.31665421956684,4.97386109036594,3.36071695294996,5.5
"212",3.43042071197411,3.43042071197411,3.4211742949607,3.65233472029588,3.32871012482663,3.41192787794729,3.6708275543227,3.66158113730929,4.07766990291262,7.98890429958391,7.98890429958391,4.39204808136847,0,1.0078594544614,6.41701340730467,4.15164123901988,4.99306518723994,3.26398520573278,6
"213",3.22815533980582,3.22815533980582,3.22006472491909,3.50323624595469,3.14724919093851,3.23624595469256,3.46278317152104,3.47087378640777,3.90776699029126,8.15533980582524,8.15533980582524,4.44983818770227,0,0.881877022653722,6.50485436893204,3.88349514563107,5.02427184466019,3.05016181229773,7
"214",3.07083782811938,3.07083782811938,3.06364617044229,3.32254584681769,3.00611290902553,3.09960445882776,3.30097087378641,3.30097087378641,3.74685364976627,8.28478964401294,8.28478964401294,4.49478604818411,0,0.783890686803308,6.57317511686444,3.67493707299532,5.04854368932039,2.86947141316073,8
"215",2.94498381877023,2.94498381877023,2.93851132686084,3.15857605177994,2.89320388349515,2.99029126213592,3.15210355987055,3.16504854368932,3.61812297734628,8.38834951456311,8.38834951456311,4.53074433656958,0,0.705501618122977,6.62783171521036,3.48867313915858,5.06796116504854,2.71197411003236,9
"216",2.84201235657546,2.84201235657546,2.83612827302148,2.96557811120918,2.80082377169756,2.90085319211533,3.03030303030303,3.05383936451898,3.51279788172992,8.24360105913504,8.24360105913504,4.56016475433951,0,0.641365107384525,6.67255075022065,3.29508679023242,5.08384819064431,2.57722859664607,10
"217",0.98264195351574,0.98264195351574,0.988526037069726,0.970873786407767,0.98264195351574,0.976757869961754,0.988526037069726,0.96498970285378,0.96498970285378,0.988526037069726,0.988526037069726,0.988526037069726,0,0.988526037069726,0.988526037069726,0.970873786407767,0.988526037069726,0.976757869961754,0.1
